candidate_count,metric,seed,value,variant
5,completed_requests,47010,50.0,Tree 2
5,completed_requests,47011,41.0,Tree 2
5,completed_requests,47012,55.0,Tree 2
5,completed_requests,47013,44.0,Tree 2
5,completed_requests,47014,54.0,Tree 2
5,completed_requests,47015,41.0,Tree 2
5,completed_requests,47016,38.0,Tree 2
5,completed_requests,47017,43.0,Tree 2
5,completed_requests,47018,37.0,Tree 2
5,completed_requests,47019,45.0,Tree 2
5,completed_requests,47000,55.0,Tree 3
5,completed_requests,47001,53.0,Tree 3
5,completed_requests,47002,40.0,Tree 3
5,completed_requests,47003,47.0,Tree 3
5,completed_requests,47004,45.0,Tree 3
5,completed_requests,47005,44.0,Tree 3
5,completed_requests,47006,42.0,Tree 3
5,completed_requests,47007,39.0,Tree 3
5,completed_requests,47008,48.0,Tree 3
5,completed_requests,47009,39.0,Tree 3
5,completed_requests,47010,41.0,Tree 3
5,completed_requests,47011,44.0,Tree 3
5,completed_requests,47012,43.0,Tree 3
5,completed_requests,47013,48.0,Tree 3
5,completed_requests,47014,49.0,Tree 3
5,completed_requests,47015,49.0,Tree 3
5,completed_requests,47016,30.0,Tree 3
5,completed_requests,47017,47.0,Tree 3
5,completed_requests,47018,47.0,Tree 3
5,completed_requests,47019,41.0,Tree 3
5,completed_requests,47000,48.0,Tree 4
5,completed_requests,47001,54.0,Tree 4
5,completed_requests,47002,41.0,Tree 4
5,completed_requests,47003,47.0,Tree 4
5,completed_requests,47004,50.0,Tree 4
5,completed_requests,47005,49.0,Tree 4
5,completed_requests,47006,45.0,Tree 4
5,completed_requests,47007,38.0,Tree 4
5,completed_requests,47008,56.0,Tree 4
5,completed_requests,47009,42.0,Tree 4
5,completed_requests,47010,55.0,Tree 4
5,completed_requests,47011,48.0,Tree 4
5,completed_requests,47012,51.0,Tree 4
5,completed_requests,47013,52.0,Tree 4
5,completed_requests,47014,52.0,Tree 4
5,completed_requests,47015,49.0,Tree 4
5,completed_requests,47016,44.0,Tree 4
5,completed_requests,47017,47.0,Tree 4
5,completed_requests,47018,45.0,Tree 4
5,completed_requests,47019,42.0,Tree 4
1,completed_requests,47000,50.0,Adaptive
1,mean_decision_seconds,47000,0.14820078459496683,Adaptive
1,completed_requests,47001,44.0,Adaptive
1,mean_decision_seconds,47001,0.15567475382704288,Adaptive
1,completed_requests,47002,41.0,Adaptive
1,mean_decision_seconds,47002,0.14514253078959882,Adaptive
1,completed_requests,47003,48.0,Adaptive
1,mean_decision_seconds,47003,0.15097494615026966,Adaptive
1,completed_requests,47004,54.0,Adaptive
1,mean_decision_seconds,47004,0.14153817692735735,Adaptive
1,completed_requests,47005,47.0,Adaptive
1,mean_decision_seconds,47005,0.149786030775151,Adaptive
1,completed_requests,47006,37.0,Adaptive
1,mean_decision_seconds,47006,0.15160629999501488,Adaptive
1,completed_requests,47007,39.0,Adaptive
1,mean_decision_seconds,47007,0.15244009230250063,Adaptive
1,completed_requests,47008,57.0,Adaptive
1,mean_decision_seconds,47008,0.1413547846202094,Adaptive
1,completed_requests,47009,46.0,Adaptive
1,mean_decision_seconds,47009,0.14633969999312496,Adaptive
1,completed_requests,47010,50.0,Adaptive
1,mean_decision_seconds,47010,0.14576796151231974,Adaptive
1,completed_requests,47011,50.0,Adaptive
1,mean_decision_seconds,47011,0.1528472461594412,Adaptive
1,completed_requests,47012,47.0,Adaptive
1,mean_decision_seconds,47012,0.1482931846090091,Adaptive
1,completed_requests,47013,61.0,Adaptive
1,mean_decision_seconds,47013,0.13227507688749868,Adaptive
1,completed_requests,47014,54.0,Adaptive
1,mean_decision_seconds,47014,0.133490376926672,Adaptive
1,completed_requests,47015,43.0,Adaptive
1,mean_decision_seconds,47015,0.1504232307555727,Adaptive
1,completed_requests,47016,33.0,Adaptive
1,mean_decision_seconds,47016,0.15531029229840407,Adaptive
1,completed_requests,47017,46.0,Adaptive
1,mean_decision_seconds,47017,0.16439157693037906,Adaptive
1,completed_requests,47018,52.0,Adaptive
1,mean_decision_seconds,47018,0.1576024615384925,Adaptive
1,completed_requests,47019,34.0,Adaptive
1,mean_decision_seconds,47019,0.1694873307759945,Adaptive
3,completed_requests,47000,51.0,Adaptive
3,mean_decision_seconds,47000,0.38555020770022214,Adaptive
3,completed_requests,47001,53.0,Adaptive
3,mean_decision_seconds,47001,0.4150326769315423,Adaptive
3,completed_requests,47002,47.0,Adaptive
3,mean_decision_seconds,47002,0.377800361548837,Adaptive
3,completed_requests,47003,53.0,Adaptive
3,mean_decision_seconds,47003,0.36823568460889733,Adaptive
3,completed_requests,47004,54.0,Adaptive
3,mean_decision_seconds,47004,0.3540632384739673,Adaptive
3,completed_requests,47005,60.0,Adaptive
3,mean_decision_seconds,47005,0.3862988769631976,Adaptive
3,completed_requests,47006,53.0,Adaptive
3,mean_decision_seconds,47006,0.36306245382337904,Adaptive
3,completed_requests,47007,43.0,Adaptive
3,mean_decision_seconds,47007,0.38142647692718756,Adaptive
3,completed_requests,47008,52.0,Adaptive
3,mean_decision_seconds,47008,0.39580476922520363,Adaptive
3,completed_requests,47009,40.0,Adaptive
3,mean_decision_seconds,47009,0.4055453846231103,Adaptive
3,completed_requests,47010,54.0,Adaptive
3,mean_decision_seconds,47010,0.373440053824407,Adaptive
3,completed_requests,47011,45.0,Adaptive
3,mean_decision_seconds,47011,0.3766091230791062,Adaptive
3,completed_requests,47012,49.0,Adaptive
3,mean_decision_seconds,47012,0.40477149228816134,Adaptive
3,completed_requests,47013,61.0,Adaptive
3,mean_decision_seconds,47013,0.3793463230562898,Adaptive
3,completed_requests,47014,49.0,Adaptive
3,mean_decision_seconds,47014,0.3969675000094307,Adaptive
3,completed_requests,47015,48.0,Adaptive
3,mean_decision_seconds,47015,0.3857767769189265,Adaptive
3,completed_requests,47016,32.0,Adaptive
3,mean_decision_seconds,47016,0.39267324615054977,Adaptive
3,completed_requests,47017,50.0,Adaptive
3,mean_decision_seconds,47017,0.38552651535540533,Adaptive
3,completed_requests,47018,44.0,Adaptive
3,mean_decision_seconds,47018,0.42035038463878804,Adaptive
3,completed_requests,47019,46.0,Adaptive
3,mean_decision_seconds,47019,0.4529643307816094,Adaptive
5,completed_requests,47000,60.0,Adaptive
5,mean_decision_seconds,47000,0.5761739384436694,Adaptive
5,completed_requests,47001,57.0,Adaptive
5,mean_decision_seconds,47001,0.6336141000054061,Adaptive
5,completed_requests,47002,51.0,Adaptive
5,mean_decision_seconds,47002,0.5687484384711402,Adaptive
5,completed_requests,47003,49.0,Adaptive
5,mean_decision_seconds,47003,0.5868199769264231,Adaptive
5,completed_requests,47004,59.0,Adaptive
5,mean_decision_seconds,47004,0.6257179000128347,Adaptive
5,completed_requests,47005,56.0,Adaptive
5,mean_decision_seconds,47005,0.6197364769267062,Adaptive
5,completed_requests,47006,44.0,Adaptive
5,mean_decision_seconds,47006,0.603137823081432,Adaptive
5,completed_requests,47007,37.0,Adaptive
5,mean_decision_seconds,47007,0.6885638769196633,Adaptive
5,completed_requests,47008,53.0,Adaptive
5,mean_decision_seconds,47008,0.6651185846063666,Adaptive
5,completed_requests,47009,45.0,Adaptive
5,mean_decision_seconds,47009,0.6157068846066698,Adaptive
5,completed_requests,47010,53.0,Adaptive
5,mean_decision_seconds,47010,0.6679548076891269,Adaptive
5,completed_requests,47011,56.0,Adaptive
5,mean_decision_seconds,47011,0.5967222615413798,Adaptive
5,completed_requests,47012,52.0,Adaptive
5,mean_decision_seconds,47012,0.5991449923021719,Adaptive
5,completed_requests,47013,61.0,Adaptive
5,mean_decision_seconds,47013,0.5778664846170264,Adaptive
5,completed_requests,47014,54.0,Adaptive
5,mean_decision_seconds,47014,0.5587644230825111,Adaptive
5,completed_requests,47015,48.0,Adaptive
5,mean_decision_seconds,47015,0.6182742538378359,Adaptive
5,completed_requests,47016,34.0,Adaptive
5,mean_decision_seconds,47016,0.6437118769211408,Adaptive
5,completed_requests,47017,60.0,Adaptive
5,mean_decision_seconds,47017,0.5943825461436063,Adaptive
5,completed_requests,47018,50.0,Adaptive
5,mean_decision_seconds,47018,0.644124446150202,Adaptive
5,completed_requests,47019,50.0,Adaptive
5,mean_decision_seconds,47019,0.6364704384647596,Adaptive
